station_flow_id,year,station_id,station_name,morning_entries,morning_exits,midday_entries,midday_exits,evening_entries,evening_exits,night_entries,night_exits,total_entries,total_exits,total_flow,morning_total_flow,midday_total_flow,evening_total_flow,night_total_flow,peak_total_flow,entry_exit_imbalance,bottleneck_score,stop_lat,stop_lon,region,pressure_category
2023_edgecliff,2023,edgecliff,Edgecliff Station,2780,2370,1530,1320,2730,2720,690,1020,7730,7430,15160,5150,2850,5450,1710,10600,300,0.6992084432717678,-33.87937104,151.23625289,Eastern Sydney,Medium Peak Pressure
2023_edmondson_park,2023,edmondson_park,Edmondson Park Station,2160,230,500,450,530,1970,410,850,3600,3500,7100,2390,950,2500,1260,4890,100,0.6887323943661972,-33.96932346,150.85880158,Western Sydney,Medium Peak Pressure
2023_emu_plains,2023,emu_plains,Emu Plains Station,550,90,100,100,160,530,110,130,920,850,1770,640,200,690,240,1330,70,0.751412429378531,-33.74572534,150.67142718,Western Sydney,High Peak Pressure
2023_engadine,2023,engadine,Engadine Station,590,160,200,170,180,520,110,140,1080,990,2070,750,370,700,250,1450,90,0.7004830917874396,-34.06770196,151.01486023,Western Sydney,High Peak Pressure
2023_epping,2023,epping,Epping Station,5920,1630,2210,1730,2720,5820,970,2580,11820,11760,23580,7550,3940,8540,3550,16090,60,0.6823579304495335,-33.77283671,151.08208231,Southern Sydney,Medium Peak Pressure
2023_erskineville,2023,erskineville,Erskineville Station,1240,260,370,260,480,1010,220,540,2310,2070,4380,1500,630,1490,760,2990,240,0.682648401826484,-33.90018265,151.1854959,Northern Sydney,Medium Peak Pressure
2023_fairfield,2023,fairfield,Fairfield Station,1970,910,1380,1280,1300,1970,620,980,5270,5140,10410,2880,2660,3270,1600,6150,130,0.590778097982709,-33.87224505,150.95725354,Western Sydney,Medium Peak Pressure
2023_fairy_meadow,2023,fairy_meadow,Fairy Meadow Station,0,0,0,0,0,0,0,0,100,90,190,0,0,0,0,0,10,0.0,-34.39521697,150.89644618,Western Sydney,Low Peak Pressure
2023_fassifern,2023,fassifern,Fassifern Station,0,0,0,0,0,0,0,0,330,270,600,0,0,0,0,0,60,0.0,-32.98563743,151.58094353,Eastern Sydney,Low Peak Pressure
2023_faulconbridge,2023,faulconbridge,Faulconbridge Station,0,0,0,0,0,0,0,0,70,60,130,0,0,0,0,0,10,0.0,-33.6965933,150.53493365,Western Sydney,Low Peak Pressure
2023_flemington,2023,flemington,Flemington Station,1660,640,960,570,1020,1440,500,1180,4140,3830,7970,2300,1530,2460,1680,4760,310,0.5972396486825596,-33.86491214,151.07017841,Northern Sydney,Medium Peak Pressure
2023_glenbrook,2023,glenbrook,Glenbrook Station,0,0,0,0,0,0,0,0,360,320,680,0,0,0,0,0,40,0.0,-33.76911515,150.62104944,Western Sydney,Low Peak Pressure
2023_glenfield,2023,glenfield,Glenfield Station,2400,930,890,550,1090,2240,550,1020,4930,4740,9670,3330,1440,3330,1570,6660,190,0.688728024819028,-33.97220759,150.89306653,Western Sydney,Medium Peak Pressure
2023_gordon,2023,gordon,Gordon Station,3080,1190,1080,830,1630,2770,390,1240,6180,6030,12210,4270,1910,4400,1630,8670,150,0.7100737100737101,-33.75591148,151.15444755,Southern Sydney,High Peak Pressure
2023_gosford,2023,gosford,Gosford Station,1680,990,780,550,1010,1630,460,670,3930,3840,7770,2670,1330,2640,1130,5310,90,0.6833976833976834,-33.42348495,151.3417336,Eastern Sydney,Medium Peak Pressure
2023_granville,2023,granville,Granville Station,2160,860,1440,1020,1450,2280,1110,1650,6160,5810,11970,3020,2460,3730,2760,6750,350,0.5639097744360902,-33.83275764,151.01186867,Western Sydney,Medium Peak Pressure
2023_green_square,2023,green_square,Green Square Station,3270,3220,1960,1680,4290,3190,1230,2080,10750,10170,20920,6490,3640,7480,3310,13970,580,0.6677820267686424,-33.90607818,151.20257663,Northern Sydney,Medium Peak Pressure
2023_guildford,2023,guildford,Guildford Station,1110,220,580,410,460,1130,360,540,2510,2300,4810,1330,990,1590,900,2920,210,0.6070686070686071,-33.85443792,150.98439283,Western Sydney,Medium Peak Pressure
2023_gymea,2023,gymea,Gymea Station,1020,230,300,300,320,860,120,280,1760,1670,3430,1250,600,1180,400,2430,90,0.7084548104956269,-34.0348695,151.08526089,Northern Sydney,High Peak Pressure
2023_hamilton,2023,hamilton,Hamilton Station,140,170,200,150,190,140,60,70,590,530,1120,310,350,330,130,640,60,0.5714285714285714,-32.91846324,151.748498,Eastern Sydney,Medium Peak Pressure
2023_harris_park,2023,harris_park,Harris Park Station,670,260,450,400,580,840,510,640,2210,2140,4350,930,850,1420,1150,2350,70,0.5402298850574713,-33.82335268,151.00765002,Western Sydney,Medium Peak Pressure
2023_hawkesbury_river,2023,hawkesbury_river,Hawkesbury River Station,0,0,0,0,0,0,0,0,200,180,380,0,0,0,0,0,20,0.0,-33.54684344,151.22657548,Southern Sydney,Low Peak Pressure
2023_hazelbrook,2023,hazelbrook,Hazelbrook Station,0,0,0,0,0,0,0,0,230,220,450,0,0,0,0,0,10,0.0,-33.72368467,150.45415753,Western Sydney,Low Peak Pressure
2023_heathcote,2023,heathcote,Heathcote Station,270,60,90,90,70,220,40,70,470,440,910,330,180,290,110,620,30,0.6813186813186813,-34.08791879,151.00833242,Western Sydney,Medium Peak Pressure
2023_helensburgh,2023,helensburgh,Helensburgh Station,0,0,0,0,0,0,0,0,430,370,800,0,0,0,0,0,60,0.0,-34.17705075,150.99425973,Western Sydney,Low Peak Pressure
2023_hills_showground,2023,hills_showground,Hills Showground Station,1570,330,420,320,580,1440,150,570,2720,2660,5380,1900,740,2020,720,3920,60,0.7286245353159851,-33.72791245,150.98702465,Western Sydney,High Peak Pressure
2023_holsworthy,2023,holsworthy,Holsworthy Station,1710,190,310,260,400,1470,280,640,2700,2560,5260,1900,570,1870,920,3770,140,0.7167300380228137,-33.96319517,150.95658976,Western Sydney,High Peak Pressure
2023_homebush,2023,homebush,Homebush Station,1280,270,590,410,610,1180,360,850,2840,2710,5550,1550,1000,1790,1210,3340,130,0.6018018018018018,-33.86668795,151.08619478,Northern Sydney,Medium Peak Pressure
2023_hornsby,2023,hornsby,Hornsby Station,4270,2220,2320,2080,3090,4700,910,1790,10590,10790,21380,6490,4400,7790,2700,14280,-200,0.6679139382600561,-33.70347479,151.09835973,Southern Sydney,Medium Peak Pressure
2023_hurlstone_park,2023,hurlstone_park,Hurlstone Park Station,680,60,200,130,180,510,90,320,1150,1020,2170,740,330,690,410,1430,130,0.6589861751152074,-33.91020179,151.13248381,Northern Sydney,Medium Peak Pressure
2023_hurstville,2023,hurstville,Hurstville Station,6800,2130,4140,3620,4260,7810,2060,4040,17260,17600,34860,8930,7760,12070,6100,21000,-340,0.6024096385542169,-33.96744133,151.10269428,Northern Sydney,Medium Peak Pressure
2023_ingleburn,2023,ingleburn,Ingleburn Station,1220,520,530,440,690,1220,330,590,2770,2770,5540,1740,970,1910,920,3650,0,0.6588447653429603,-33.99748219,150.86457694,Western Sydney,Medium Peak Pressure
2023_international,2023,international,International Station,1170,1770,1280,940,730,800,730,540,3910,4050,7960,2940,2220,1530,1270,4470,-140,0.5615577889447236,,,Unmatched / Unknown,Medium Peak Pressure
2023_jannali,2023,jannali,Jannali Station,1420,210,320,310,330,1190,130,380,2200,2090,4290,1630,630,1520,510,3150,110,0.7342657342657343,-34.01610952,151.06464581,Northern Sydney,High Peak Pressure
2023_katoomba,2023,katoomba,Katoomba Station,180,130,260,510,420,180,60,80,920,900,1820,310,770,600,140,910,20,0.5,-33.71203514,150.31166184,Western Sydney,Medium Peak Pressure
2023_kellyville,2023,kellyville,Kellyville Station,2450,80,390,320,360,2120,170,800,3370,3320,6690,2530,710,2480,970,5010,50,0.7488789237668162,-33.71337441,150.93523145,Western Sydney,High Peak Pressure
2023_kiama,2023,kiama,Kiama Station,120,40,130,150,80,110,40,50,370,350,720,160,280,190,90,350,20,0.4861111111111111,-34.67266689,150.8544551,Western Sydney,Low Peak Pressure
2023_killara,2023,killara,Killara Station,920,140,340,230,290,740,70,380,1620,1490,3110,1060,570,1030,450,2090,130,0.6720257234726688,-33.76569908,151.16184659,Southern Sydney,Medium Peak Pressure
